nameDe;nameFr;chShis;burNo;ctNo
BWZ Lyss Berufs- und Weiterbildungszentrum;BWZ Lyss Berufs- und Weiterbildungszentrum ;;;2986
Campus Muristalden Bern;Campus Muristalden Bern;;;228
Careum Bildungszentrum;Careum Bildungszentrum;;;2767
ceff – Centre de formation professionnelle Berne francophone;ceff – Centre de formation professionnelle Berne francophone;;;2333
CEJEF - Division commerciale;CEJEF - Division commerciale;;;3185
CEJEF - Division santé-social-arts;CEJEF - Division santé-social-arts;;;3186
CEJEF - Division technique;CEJEF - Division technique;;;3095
Centre de Formation et de Placement;Centre de Formation et de Placement;;;3209
CEPV Centre d'enseignement professionnel de Vevey;CEPV Centre d'enseignement professionnel de Vevey ;;;3030
CFP Arts, Genf;CFP Arts, Genf;;;2910
CIFOM EAA École d'arts appliquées;CIFOM EAA École d'arts appliquées;;;3154
École de la transition (EdT);École de la transition (EdT);;;3279
École supérieure d'hygiénistes dentaires;École supérieure d'hygiénistes dentaires;;;3284
Collège et Ecole de commerce (CEC) André-Chavanne;Collège et Ecole de commerce (CEC) André-Chavanne;;;3270
CsBe - ICT Ausbildungszentrum / Computerschule Bern;CsBe - ICT Ausbildungszentrum / Computerschule Bern;;;3068
CPLN Ecole Technique Neuchâtel;CPLN Ecole Technique Neuchâtel;;;
CPNE Centre de formation prof. neuchâtelois;CPNE Centre de formation prof. neuchâtelois;;;
CPNE-Centre de formation prof. neuchâtelois;CPNE-Centre de formation prof. neuchâtelois;;;
CPNV - Centre professionel du Nord vaudois;CPNV - Centre professionel du Nord vaudois;;;
CsBe - ICT Ausbildungszentrum Bern;CsBe - ICT Ausbildungszentrum Bern;;;
Gymnasium Biel Seeland;Gymnasium Biel Seeland;;;210
Didac Bern;Didac Bern;;;1924
Ecole Prévôtoise Moutier;Ecole Prévôtoise Moutier;;;3074
Ecole supérieur technique Mittelland;Ecole supérieur technique Mittelland;;;
ESsanté - École supérieure de la santé;ESsanté - École supérieure de la santé;;;
Fachmittelschule FMS Lerbermatt;Fachmittelschule FMS Lerbermatt;;;
Fachmittelschule FMS Neufeld;Fachmittelschule FMS Neufeld;;;
Fachmittelschule FMS Thun;Fachmittelschule FMS Thun;;;
Fachmittelschule Oberaargau;Fachmittelschule Oberaargau;;;
Feusi Bildungszentrum, Bern;Feusi Bildungszentrum, Bern;;;
FMS Biel-Seeland;FMS Biel-Seeland;;;
Freies Gymnasium Bern;Freies Gymnasium Bern;;;
Gartenbauschule Hünibach;Gartenbauschule Hünibach;;;
GIBB Bern;GIBB Bern;;;
Gym. Muristalden, Bern;Gym. Muristalden, Bern;;;
Gymnase de Bienne et du Jura bernois;Gymnase de Bienne et du Jura bernois;;;
Gymnase pour adultes de Chamblandes;Gymnase pour adultes de Chamblandes;;;
Gymnasium  Langenthal;Gymnasium  Langenthal;;;
Gymnasium Biel-Seeland;Gymnasium Biel-Seeland;;;
Gymnasium Burgdorf;Gymnasium Burgdorf;;;
Gymnasium Hofwil, M'buchsee;Gymnasium Hofwil, M'buchsee;;;
Gymnasium Interlaken;Gymnasium Interlaken;;;
Gymnasium Kirchenfeld, Bern;Gymnasium Kirchenfeld, Bern;;;
Gymnasium Lerbermatt;Gymnasium Lerbermatt;;;
Gymnasium Neufeld, Bern;Gymnasium Neufeld, Bern;;;
Gymnasium Oberaargau;Gymnasium Oberaargau;;;
Gymnasium Seefeld, Thun;Gymnasium Seefeld, Thun;;;
Gymnasium Thun;Gymnasium Thun;;;
HF für Drogisten/Drogistinnen ESD;HF für Drogisten/Drogistinnen ESD;;;
HF für Technik Mittelland AG (hftm);HF für Technik Mittelland AG (hftm);;;
HF Gesundheit und Soziales HFGS;HF Gesundheit und Soziales HFGS;;;
Höhere Fachschule Bereich Gesundheit Valais-Wallis;Höhere Fachschule Bereich Gesundheit Valais-Wallis;;;
Höhere Fachschule Holz Biel;Höhere Fachschule Holz Biel;;;
Hotelfachschule Thun;Hotelfachschule Thun;;;
INFORAMA Rütti Zollikofen;INFORAMA Rütti Zollikofen;;;
Invers, Schule für Gestaltung, Bern;Invers, Schule für Gestaltung, Bern;;;
IST Höhere Fachschule für Tourismus Zürich;IST Höhere Fachschule für Tourismus Zürich;;;
JUVESO;JUVESO;;;
Kantonale Fachmittelschulen;Kantonale Fachmittelschulen;;;
Kantonale Gartenbauschule Oeschberg;Kantonale Gartenbauschule Oeschberg;;;
Kantonsschule Baden;Kantonsschule Baden;;;
Lehrbetrieb;Lehrbetrieb;;;
Lufthansa Aviation Training Switzerland AG;Lufthansa Aviation Training Switzerland AG;;;
Medi, Zentrum für medizinische Bildung;Medi, Zentrum für medizinische Bildung;;;
Minerva Schulen Bern;Minerva Schulen Bern;;;
