abschlussDe;ausbildungskategorie;ausbildungsstaetteDe;Bildungsrichtung (Optional)
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Zug PH Zug;
Master;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Zug PH Zug;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Hochschule für Logopädie Ostschweiz hlo;
Master;PAEDAGOGISCHE_HOCHSCHULE;Hochschule für Logopädie Ostschweiz hlo;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA;
Master;PAEDAGOGISCHE_HOCHSCHULE;SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA;
Bachelor;FACHHOCHSCHULE;La Cambre École Nat. Sup. des Arts Visuels;
Master;UNIVERSITAET_ETH;Ankara Yildirim Beyazit University;
Bachelor;UNIVERSITAET_ETH;Medizinische Universität - Sofia;
Master;UNIVERSITAET_ETH;Medizinische Universität - Sofia;
Master;UNIVERSITAET_ETH;Goethe-Universität Frankfurt am Main;
Bachelor;UNIVERSITAET_ETH;The Open University;
Bachelor;UNIVERSITAET_ETH;Vysoka skola kreativni komunikace, s.r.o. Praha;
Bachelor;UNIVERSITAET_ETH;Universität Wien;
Master;UNIVERSITAET_ETH;Universität Wien;
Bachelor;UNIVERSITAET_ETH;Universitatea de Medicinã si Farmacie, Timisoara;
Bachelor;UNIVERSITAET_ETH;Karlsruher Institut für Technologie KIT;
Master;UNIVERSITAET_ETH;Karlsruher Institut für Technologie KIT;
Bachelor;UNIVERSITAET_ETH;Technische Universität Wien;
Master;UNIVERSITAET_ETH;Technische Universität Wien;
Bachelor;UNIVERSITAET_ETH;Royal College of Art, London;
Master;UNIVERSITAET_ETH;Royal College of Art, London;
Bachelor;FACHHOCHSCHULE;Trinity Laban Conservatoire of Music and Dance;
Bachelor;UNIVERSITAET_ETH;Kolleg AAB Pristina;
Bachelor;UNIVERSITAET_ETH;Universität Kore Enna;
Master;UNIVERSITAET_ETH;Universität Kore Enna;
Bachelor;UNIVERSITAET_ETH;Felician University of New Jersey;
Master;UNIVERSITAET_ETH;Felician University of New Jersey;
Bachelor;FACHHOCHSCHULE;JMC Academy;
Bachelor;FACHHOCHSCHULE;ESDI Escola sup.de Disseny Universitat Ramon Llull;
Bachelor;UNIVERSITAET_ETH;Technische Universität Darmstadt;
Master;UNIVERSITAET_ETH;Technische Universität Darmstadt;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BERUFSFACHSCHULEN_UEBERBETRIEBLICHE_KURSE;GiBB Bern;
10. Schuljahr;BRUECKENANGEBOT;Haarakademie;BERUFLICHE_GRUNDBILDUNG
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Freies Gymnasium Zürich;
Anschlussklasse für Mittelschule;BRUECKENANGEBOT;GiBB Bern;ALLGEMEINBILDENDE_SCHULE
Vorbereitungskurse für HF-Lehrgänge;BRUECKENANGEBOT;Scuola Universitaria Professionale della Svizzera Italiana SUPSI;HOEHERE_BERUFSBILDUNG
Passerelle Fachhochschule (FH);BRUECKENANGEBOT;Berner Fachhochschule BFH;HOCHSCHULE
10. Schuljahr;BRUECKENANGEBOT;Haarakademie;BERUFLICHE_GRUNDBILDUNG
Diplom HF;HOEHERE_FACHSCHULE;Agogis;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;AKAD College;
Passerelle Berufsmaturität/Fachmaturität – universitäre Hochschulen;BRUECKENANGEBOT;AKAD College;HOCHSCHULE
Berufsmaturität 2;BERUFSFACHSCHULEN;AKAD College;
Diplom HF;HOEHERE_FACHSCHULE;ARPIH centre romand de formation sociale;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;BBZ Biel;BERUFLICHE_GRUNDBILDUNG
Eidg. Berufsattest EBA (Vollzeitschule);BERUFSFACHSCHULEN;BBZ Biel;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;BBZ Biel;
Berufsmaturität 2;BERUFSFACHSCHULEN;BBZ Biel;
